seed,policy,credit_registration,final_along_m,final_total_m,mean_abs_along_m,markers
0,none,0,0.15446031111963043,0.6672930747966005,0.12745068091774805,0
0,scheduler,0,1.402408800659853,1.7603933784421664,0.7936526541417102,19
1,none,0,1.7204271438033807,2.007516727002425,0.8171575968991961,0
1,scheduler,0,0.5555374391433265,0.6209711899575052,0.2546167454486902,19
2,none,0,0.641160013394377,2.5248451795219156,0.37368725502418865,0
2,scheduler,0,1.0517362236362067,2.4960265322997737,0.5947175347210338,20
3,none,0,7.856009920531562,8.247091247665246,4.319237479413711,0
3,scheduler,0,0.6276417089509148,3.018014652359366,0.42871333488067015,19
4,none,0,3.1684671344319,3.5400904187737265,1.7194729478710338,0
4,scheduler,0,2.023556118076358,2.318173703217373,1.0948864936661369,20
5,none,0,3.1409617648294414,3.598622381704063,1.6514796805399257,0
5,scheduler,0,1.718044799016417,2.3448851769655343,0.7589249617848061,21
6,none,0,4.364836057060666,4.607481976713212,2.248445418406268,0
6,scheduler,0,0.022799947709083862,1.0425787037683485,0.04338378001739319,19
7,none,0,0.5786304133615188,1.0369272017339206,0.10679952184659475,0
7,scheduler,0,0.7688623750742838,1.5790984059729132,0.3526575642254823,17
0,none,1,0.15446031111963043,0.6672930747966005,0.12745068091774805,0
0,scheduler,1,1.403740077954067,1.4347971577723955,0.8030771533038042,19
1,none,1,1.7204271438033807,2.007516727002425,0.8171575968991961,0
1,scheduler,1,0.257035077647733,0.4154063179529428,0.15862856498883657,19
2,none,1,0.641160013394377,2.5248451795219156,0.37368725502418865,0
2,scheduler,1,1.2855584401683005,2.051630289110626,0.6355941887389095,20
3,none,1,7.856009920531562,8.247091247665246,4.319237479413711,0
3,scheduler,1,0.7692816875752793,2.4778420602322777,0.5414977948043195,19
4,none,1,3.1684671344319,3.5400904187737265,1.7194729478710338,0
4,scheduler,1,1.642519787474262,2.128251337061149,0.9966319656562574,21
5,none,1,3.1409617648294414,3.598622381704063,1.6514796805399257,0
5,scheduler,1,2.429234791959078,2.9640061637162223,1.1381109114956636,20
6,none,1,4.364836057060666,4.607481976713212,2.248445418406268,0
6,scheduler,1,0.25079814643146053,0.254890970227096,0.10797985748787182,19
7,none,1,0.5786304133615188,1.0369272017339206,0.10679952184659475,0
7,scheduler,1,1.1449144336467516,1.4396067722764168,0.5083686872988478,18
