variant,seed,final_along_m,final_lateral_m,markers_placed
none,0,0.009576854702174842,0.9232657655802493,0
none,1,1.8442665979805497,1.9793614962642,0
none,2,0.19607933232555297,2.4552199277166267,0
none,3,11.359015925942288,2.2702456239686675,0
none,4,3.992630971438018,1.5467707746862727,0
none,5,4.688613728960547,0.6416654883858519,0
none,6,5.700336137818397,1.7440020733531347,0
none,7,0.41953275814427116,2.277954515654419,0
shipped,0,0.39226226741305936,0.6817601492634899,20
shipped,1,3.0249681663140677,1.301896647698032,20
shipped,2,1.3976609207609272,0.721314996463536,20
shipped,3,2.5792521354515543,1.4019652773736502,20
shipped,4,4.43602969148418,1.749828199468604,20
shipped,5,3.6597785600047246,0.6449303759324034,20
shipped,6,1.7826468626960832,1.922360116486638,20
shipped,7,1.4593949587242037,1.6060090403074139,20
absolute_anchors,0,1.7073807944603914,0.5226052705812751,20
absolute_anchors,1,0.3047977598374132,1.751258814937449,20
absolute_anchors,2,0.011909742090267628,1.1803111209705932,20
absolute_anchors,3,6.676240800432311,1.7659177249181905,20
absolute_anchors,4,4.000152081563613,1.50554909308091,20
absolute_anchors,5,5.2386148318499295,0.42999251141480077,20
absolute_anchors,6,3.080176738895034,2.3058954837576424,20
absolute_anchors,7,3.3028184318749254,1.6514083537697761,20
no_yaw_fix,0,0.39226226741305936,0.6817601492634899,20
no_yaw_fix,1,3.0249681663140677,1.301896647698032,20
no_yaw_fix,2,1.3976609207609272,0.721314996463536,20
no_yaw_fix,3,2.5792521354515543,1.4019652773736502,20
no_yaw_fix,4,4.43602969148418,1.749828199468604,20
no_yaw_fix,5,3.6597785600047246,0.6449303759324034,20
no_yaw_fix,6,1.7826468626960832,1.922360116486638,20
no_yaw_fix,7,1.4593949587242037,1.6060090403074139,20
no_resurvey,0,2.710487561964669,0.9820627240207946,20
no_resurvey,1,1.626099564071012,1.6706887278628597,20
no_resurvey,2,2.771815811564977,1.1089134786842358,20
no_resurvey,3,3.5844171920743975,0.9926763648951241,20
no_resurvey,4,2.272660400023142,1.8789791911673523,20
no_resurvey,5,3.1187159158561713,0.6611621303294855,20
no_resurvey,6,1.8159366633111063,1.5222417022137804,20
no_resurvey,7,1.6864376068630236,1.4819156333493095,20
