variant,seed,final_along_m,final_lateral_m,markers_placed,markers_reobserved,n_fixes,fixes_per_marker,largest_fix_m,median_gain_along,median_q_since_along,median_r_along
none,0,0.009576854702174842,0.9232657655802493,0,0,0,0.0,0.0,nan,nan,nan
none,1,1.8442665979805497,1.9793614962642,0,0,0,0.0,0.0,nan,nan,nan
none,2,0.19607933232555297,2.4552199277166267,0,0,0,0.0,0.0,nan,nan,nan
none,3,11.359015925942288,2.2702456239686675,0,0,0,0.0,0.0,nan,nan,nan
none,4,3.992630971438018,1.5467707746862727,0,0,0,0.0,0.0,nan,nan,nan
none,5,4.688613728960547,0.6416654883858519,0,0,0,0.0,0.0,nan,nan,nan
none,6,5.700336137818397,1.7440020733531347,0,0,0,0.0,0.0,nan,nan,nan
none,7,0.41953275814427116,2.277954515654419,0,0,0,0.0,0.0,nan,nan,nan
no_registration,0,0.7453973166228138,25.279473273942514,0,0,0,0.0,0.0,nan,nan,nan
no_registration,1,3.3695041226113744,50.71839639763509,0,0,0,0.0,0.0,nan,nan,nan
no_registration,2,19.033556402270847,93.54200608959428,0,0,0,0.0,0.0,nan,nan,nan
no_registration,3,10.447731547271417,28.90256570177732,0,0,0,0.0,0.0,nan,nan,nan
no_registration,4,13.884211903667165,65.89572119765725,0,0,0,0.0,0.0,nan,nan,nan
no_registration,5,5.435247029160735,18.916932497482577,0,0,0,0.0,0.0,nan,nan,nan
no_registration,6,15.766159071715094,98.15163213527292,0,0,0,0.0,0.0,nan,nan,nan
no_registration,7,3.337234868145117,39.014398670989785,0,0,0,0.0,0.0,nan,nan,nan
perfect_detection,0,0.43922124453109745,0.24529858089985065,23,23,230,10.0,0.015992432581465113,0.5442796635017246,0.00027200598415978196,0.0002299931803886806
perfect_detection,1,1.6140159796206035,1.6873001135971053,24,24,240,10.0,0.03755763185443832,0.5445991072641805,0.0002707590061303161,0.00022999319677792038
perfect_detection,2,0.1141241292060613,2.068131603436173,23,23,230,10.0,0.01856559215483109,0.5422962928762052,0.00027173670785948496,0.00023099309298169087
perfect_detection,3,5.573306186001787,1.7029720413105884,24,24,240,10.0,0.07844603752694423,0.5532835534784792,0.0002832850490419517,0.00023099309749820816
perfect_detection,4,3.3357762263171367,1.309091586925678,23,23,230,10.0,0.09883209285843533,0.5368603194889356,0.00026692217147762664,0.0002319940956188495
perfect_detection,5,4.052763957867455,0.4218341404903394,23,23,230,10.0,0.019410118808258423,0.5365283014138111,0.00026303877210766296,0.00023099373971322015
perfect_detection,6,3.167478041571428,1.4888525088586013,24,24,240,10.0,0.022466051817425222,0.5476981545359296,0.00027640059882104884,0.0002319933410282601
perfect_detection,7,0.5037307285732027,1.5068520516403072,23,23,230,10.0,0.01328838832368997,0.5390881993598892,0.00026882258262759336,0.0002319942372283423
full,0,3.6548889219675402,0.8245223662406261,22,22,220,10.0,0.047207742988835684,0.4378796885156261,0.0002654771972141912,0.00033516720127973874
full,1,1.878358191672703,0.8753678638006793,23,23,230,10.0,0.04900272413197779,0.45082986338373876,0.00027001907178116866,0.00029999999430346445
full,2,1.6599548750355098,2.1712689694600638,23,23,230,10.0,0.0514268826466847,0.457064610373746,0.00026647159892680697,0.00030000010732903946
full,3,0.0800153469285192,1.471954036810967,19,19,190,10.0,0.05853704564169495,0.4444901672939656,0.00027883053651907037,0.0003999990900638107
full,4,1.2552169636672943,1.5870994665241787,23,23,230,10.0,0.04664430424431652,0.4857393223349466,0.000263358582335302,0.00023524005855651457
full,5,2.595091689746482,0.5962539508009571,22,22,220,10.0,0.04575061777707856,0.4457745968842106,0.0002627921036367282,0.00030000005468669124
full,6,0.8773204672736483,1.2645161345803229,23,23,230,10.0,0.04932853209508064,0.4833020661609482,0.0002729067058658657,0.00023633762869903517
full,7,2.7621124618825093,1.2695185128909336,22,22,220,10.0,0.03745812416757045,0.43793775687502867,0.00026417770672156694,0.0003250978432570821
