platform,policy,seed,world,length_m,range_scale,odom_scale,marker_height_m,fov_deg,sensor_range_m,odom_scale_sigma,ratio_threshold,final_along_m,final_lateral_m,final_rot_rad,markers_placed,path_length_m,mission_time_s,blind_fraction,mean_yaw_rate_dps,glance_fraction,scale_estimate,lead_time_median_s,lead_time_n,wall_time_s
drone,forward,1,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,2.070508897373543,0.539523092942739,0.00912536099367345,0,300.0,300.5,0.9315525876460768,0.0,nan,1.0,6.5,1,82.6089870929718
drone,forward,0,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,0.42869591288990705,0.5648810836036997,0.005507674226515474,0,300.0,300.5,0.9432387312186978,0.0,nan,1.0,4.0,1,84.45130729675293
drone,forward,3,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,11.359328444447726,0.7278755502446844,0.009871346395430934,0,300.0,300.5,0.9015025041736227,0.0,nan,1.0,3.5,1,81.25953364372253
drone,forward,2,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,0.89468900366262,0.7243608171941726,0.01578020165334319,0,300.0,300.5,0.9232053422370617,0.0,nan,1.0,4.0,1,86.47494101524353
drone,forward,4,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,3.852640353023901,0.40884682821819823,0.0013774376431904623,0,300.0,300.5,0.9465776293823038,0.0,nan,1.0,4.0,1,84.52725768089294
drone,forward,5,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,4.595200971477141,0.567419018897759,0.007822737655111774,0,300.0,300.5,0.9265442404006677,0.0,nan,1.0,4.0,1,86.1767041683197
drone,forward,6,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,5.940820212521032,0.568922467776379,0.00666372178845625,0,300.0,300.5,0.8848080133555927,0.0,nan,1.0,4.0,1,83.56144118309021
drone,forward,7,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,0.2168935162421235,0.4734841283622073,0.0021768757963194756,0,300.0,300.5,0.9382303839732888,0.0,nan,1.0,4.0,1,82.6071720123291
drone,sweep,0,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,0.0038770928173883883,0.8432255001920954,0.011980426988407525,0,300.0,300.5,0.8146911519198664,11.966445228000639,nan,1.0,4.0,1,78.48470640182495
drone,sweep,1,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,1.1671426830671972,0.7437609145395923,0.011341722487849237,0,300.0,300.5,0.8196994991652755,12.037702892353387,nan,1.0,6.5,1,78.03528261184692
drone,sweep,2,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,0.8284407643057966,1.0758988074794353,0.008602343118201657,0,300.0,300.5,0.8363939899833055,12.023942182400978,nan,1.0,7.0,1,79.89593052864075
drone,sweep,3,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,10.564696557783405,5.126409829152371,0.014902389417052627,0,300.0,300.5,0.7963272120200334,12.461710531018133,nan,1.0,3.5,1,76.76096105575562
drone,sweep,5,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,2.961417409446074,3.898337702756186,0.008258690645792583,0,300.0,300.5,0.8564273789649416,11.788770098201047,nan,1.0,4.0,1,77.90347623825073
