platform,policy,seed,world,length_m,range_scale,odom_scale,marker_height_m,fov_deg,sensor_range_m,odom_scale_sigma,ratio_threshold,final_along_m,final_lateral_m,final_rot_rad,markers_placed,path_length_m,mission_time_s,blind_fraction,mean_yaw_rate_dps,glance_fraction,scale_estimate,lead_time_median_s,lead_time_n,wall_time_s
ugv,none,0,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,0.009576854702174842,0.9232657655802493,0.012152753559060151,0,300.0,300.5,0.9432387312186978,0.0,nan,1.0,1.0,1,24.394272804260254
ugv,none,1,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.8442665979805497,1.9793614962642,0.020215566984879214,0,300.0,300.5,0.9332220367278798,0.0,nan,1.0,0.0,1,24.81015920639038
ugv,none,2,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,0.19607933232555297,2.4552199277166267,0.01706393061270779,0,300.0,300.5,0.8848080133555927,0.0,nan,1.0,1.5,1,24.431166887283325
ugv,none,3,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,11.359015925942288,2.2702456239686675,0.0449081961747979,0,300.0,300.5,0.9482470784641068,0.0,nan,1.0,0.5,1,24.714183568954468
ugv,none,4,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,3.992630971438018,1.5467707746862727,0.010280406766849578,0,300.0,300.5,0.9616026711185309,0.0,nan,1.0,0.5,1,25.30813455581665
ugv,none,5,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,4.688613728960547,0.6416654883858519,0.018887789195309885,0,300.0,300.5,0.9565943238731218,0.0,nan,1.0,0.5,1,25.119384288787842
ugv,none,6,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,5.700336137818397,1.7440020733531347,0.02671666374350411,0,300.0,300.5,0.9482470784641068,0.0,nan,1.0,1.0,1,24.909118175506592
ugv,none,7,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,0.41953275814427116,2.277954515654419,0.013834783645512775,0,300.0,300.5,0.9315525876460768,0.0,nan,1.0,0.5,1,24.850182056427002
ugv,uniform_15m,0,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.8102854735050187,0.815619306747775,0.06391341711222337,20,300.0,300.5,0.8330550918196995,0.0,nan,1.00411352835604,-0.5,1,25.027396202087402
ugv,uniform_15m,1,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.7841596655614467,1.0352242974285037,0.0090971889833825,20,300.0,300.5,0.8063439065108514,0.0,nan,1.0062503132227636,0.0,1,25.30648446083069
ugv,uniform_15m,2,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.736223999190429,1.5702311878957973,0.05858704617753521,20,300.0,300.5,0.7863105175292153,0.0,nan,1.0016610895386195,0.0,1,25.276620626449585
ugv,uniform_15m,3,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,0.12112002695965884,1.0937782161734204,0.09424124444603009,20,300.0,300.5,0.6010016694490818,0.0,nan,1.0120752651629727,0.0,1,25.196572303771973
ugv,uniform_15m,4,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,2.150551220493867,1.8577051992210396,0.06518818025394563,20,300.0,300.5,0.8196994991652755,0.0,nan,0.9977323279989347,0.0,1,24.87968873977661
ugv,uniform_15m,5,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,2.6677614430006997,0.25040279243772895,0.09191407504080835,20,300.0,300.5,0.8397328881469115,0.0,nan,0.9971397211506935,0.0,1,25.304577112197876
ugv,uniform_15m,6,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,0.09180687820276034,1.11478616134682,0.026547611828026306,20,300.0,300.5,0.8230383973288815,0.0,nan,1.0138389211702177,0.0,1,24.796509504318237
ugv,uniform_15m,7,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,2.7837767841018604,1.5918493157406435,0.035083075653779924,20,300.0,300.5,0.8530884808013356,0.0,nan,1.001822799020187,0.0,1,25.475860834121704
ugv,uniform_8m,0,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,2.8065505123756793,0.6797772967576513,0.009303596268872281,36,300.0,300.5,0.8213689482470785,0.0,nan,1.0023035171161336,-0.5,1,25.353195667266846
