seed,policy,measure_strip_spread,final_along_m,final_total_m,mean_abs_along_m,markers
0,none,0,0.15446031111963043,0.6672930747966005,0.12745068091774805,0
0,scheduler,0,0.9216132062424673,1.4305502988133918,0.595010817315419,19
1,none,0,1.7204271438033807,2.007516727002425,0.8171575968991961,0
1,scheduler,0,0.8558627276425114,0.9950562433632157,0.46022090732618925,19
2,none,0,0.641160013394377,2.5248451795219156,0.37368725502418865,0
2,scheduler,0,0.9586412766797688,1.9184377998726254,0.5349087742822624,20
3,none,0,7.856009920531562,8.247091247665246,4.319237479413711,0
3,scheduler,0,1.0695907938485538,2.7111904089517402,0.5881006746422067,19
4,none,0,3.1684671344319,3.5400904187737265,1.7194729478710338,0
4,scheduler,0,1.6826418192356187,2.134240149086957,0.9099146039231095,20
5,none,0,3.1409617648294414,3.598622381704063,1.6514796805399257,0
5,scheduler,0,1.7395157410495088,2.5031852439605906,0.8421667499093238,20
6,none,0,4.364836057060666,4.607481976713212,2.248445418406268,0
6,scheduler,0,0.05320203580270206,0.8849546945242077,0.06787059399938128,19
7,none,0,0.5786304133615188,1.0369272017339206,0.10679952184659475,0
7,scheduler,0,0.8041249478596104,1.3214658486308835,0.4593768425413289,18
0,none,1,0.15446031111963043,0.6672930747966005,0.12745068091774805,0
0,scheduler,1,0.8537233988201413,0.8735085050797983,0.5413395614409482,19
1,none,1,1.7204271438033807,2.007516727002425,0.8171575968991961,0
1,scheduler,1,0.46341048060088896,0.7985279089494741,0.3424160219847616,19
2,none,1,0.641160013394377,2.5248451795219156,0.37368725502418865,0
2,scheduler,1,0.9934958264580538,1.0681984440072518,0.5354380151913374,20
3,none,1,7.856009920531562,8.247091247665246,4.319237479413711,0
3,scheduler,1,1.6928208253248418,2.9987877790542137,0.7983829944521611,18
4,none,1,3.1684671344319,3.5400904187737265,1.7194729478710338,0
4,scheduler,1,1.8329411987819066,2.537203836893821,0.91007225837371,20
5,none,1,3.1409617648294414,3.598622381704063,1.6514796805399257,0
5,scheduler,1,1.668217686020868,2.5522432459753124,0.8249682043714428,20
6,none,1,4.364836057060666,4.607481976713212,2.248445418406268,0
6,scheduler,1,0.3210310324920844,1.2402770269720114,0.20231339022561515,19
7,none,1,0.5786304133615188,1.0369272017339206,0.10679952184659475,0
7,scheduler,1,0.7932709393630001,1.062907544896128,0.34744029906402024,18
