platform,world,policy,n_seeds,along_median_m,along_lo,along_hi,lateral_median_m,markers_median,yaw_rate_dps,paired_vs_baseline_m,paired_lo,paired_hi,seeds_improved
ugv,blind,none,8,2.918,0.308,5.7,1.862,0.0,0.0,0.0,0.0,0.0,0
ugv,blind,on_failure,8,1.683,0.859,2.481,1.667,18.0,0.0,0.379,-0.858,5.321,4
ugv,blind,oracle_12,8,1.466,1.337,2.811,1.028,12.0,0.0,0.161,-1.158,5.211,4
ugv,blind,oracle_24,8,1.487,0.871,1.933,1.304,24.0,0.0,1.245,-1.336,4.829,5
ugv,blind,scheduler,8,1.408,1.035,1.732,1.099,22.0,0.0,1.465,-1.324,4.436,5
ugv,blind,uniform_15m,8,1.797,0.121,2.668,1.104,20.0,0.0,0.951,-1.801,5.609,5
ugv,blind,uniform_8m,8,1.67,1.033,2.201,1.403,36.0,0.0,1.266,-1.781,4.297,5
ugv,junction,none,8,1.202,0.297,2.201,1.894,0.0,0.0,0.0,0.0,0.0,0
ugv,junction,on_failure,8,1.45,0.796,2.438,1.523,43.5,0.0,-0.169,-1.423,0.764,4
ugv,junction,oracle_12,8,1.348,0.791,2.989,1.911,12.0,0.0,-0.23,-2.042,0.764,3
ugv,junction,oracle_24,8,1.224,0.443,1.356,1.73,24.0,0.0,-0.098,-0.615,1.004,3
ugv,junction,scheduler,8,1.217,0.432,1.546,1.771,10.5,0.0,0.442,-0.692,0.881,6
ugv,junction,uniform_15m,8,0.869,0.23,1.478,1.909,20.0,0.0,0.836,-0.801,1.568,5
ugv,junction,uniform_8m,8,0.599,0.189,1.203,1.864,36.0,0.0,0.582,-0.218,1.606,6
ugv,mixed,none,8,1.774,0.347,3.533,1.451,0.0,0.0,0.0,0.0,0.0,0
ugv,mixed,on_failure,8,1.995,1.417,2.322,2.235,25.5,0.0,0.1,-1.067,1.03,4
ugv,mixed,oracle_12,8,1.007,0.084,3.33,1.142,12.0,0.0,-0.249,-1.212,3.353,3
ugv,mixed,oracle_24,8,1.431,0.719,2.097,1.322,24.0,0.0,0.057,-1.02,2.569,4
ugv,mixed,scheduler,8,1.863,0.602,2.182,1.209,18.0,0.0,-0.134,-1.758,3.421,4
ugv,mixed,uniform_15m,8,1.343,0.835,2.04,1.386,20.0,0.0,0.131,-1.115,2.599,4
ugv,mixed,uniform_8m,8,1.492,0.7,1.833,1.452,36.0,0.0,0.201,-1.354,2.833,4
drone,blind,forward,8,2.962,0.429,5.268,0.566,0.0,0.0,0.0,0.0,0.0,0
drone,blind,glance,8,2.536,0.377,5.518,0.722,0.0,3.19,0.117,0.036,0.401,7
drone,blind,greedy,8,12.813,8.328,17.897,6.566,0.0,6.06,-7.976,-17.235,-2.441,2
drone,blind,greedy_forward,8,2.848,0.177,5.197,0.621,0.0,2.71,0.037,-0.074,0.261,5
drone,blind,oracle,8,2.962,0.507,5.941,0.553,0.0,0.0,0.0,0.0,0.098,2
drone,blind,sweep,8,1.978,0.479,3.719,2.437,0.0,12.0,0.849,0.081,1.348,7
drone,junction,forward,8,1.495,0.377,3.073,0.548,0.0,0.13,0.0,0.0,0.0,0
drone,junction,glance,8,0.79,0.407,3.355,0.866,0.0,12.04,0.23,-0.59,0.893,5
drone,junction,greedy,8,16.07,11.553,22.298,6.663,0.0,14.11,-14.702,-21.277,-6.316,0
drone,junction,greedy_forward,8,1.386,0.381,3.084,0.529,0.0,3.06,-0.002,-0.124,0.18,4
drone,junction,oracle,8,1.485,0.404,3.157,0.578,0.0,0.54,-0.01,-0.082,0.001,2
drone,junction,sweep,8,0.632,0.283,1.17,1.405,0.0,11.99,0.868,0.094,1.913,6
drone,mixed,forward,8,2.25,0.187,3.789,0.561,0.0,0.09,0.0,0.0,0.0,0
drone,mixed,glance,8,3.841,2.516,5.339,1.007,0.0,11.68,-0.235,-2.848,0.44,4
drone,mixed,greedy,8,23.013,11.958,36.213,9.73,0.0,16.32,-21.336,-36.128,-10.36,0
drone,mixed,greedy_forward,8,2.08,0.092,3.697,0.438,0.0,2.86,0.056,-0.073,0.184,6
drone,mixed,oracle,8,2.248,0.148,4.567,0.582,0.0,0.13,0.0,0.0,0.118,3
drone,mixed,sweep,8,1.554,0.122,2.364,1.692,0.0,12.03,0.485,0.119,1.589,7
